  17/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  18/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  18/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  19/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  19/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  20/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  20/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  21/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  21/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  22/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  22/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  23/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  23/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  24/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  24/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  25/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  25/08/1876,   23 02 N,  158 59 W,        NA,        NA,                       NA,                       NA,
  26/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  26/08/1876,   25 18 N,  159 19 W,        NA,        NA,                       NA,                       NA,
  27/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  27/08/1876,   27 26 N,  158 39 W,        NA,        NA,                       NA,                       NA,
  28/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  28/08/1876,   29 42 N,  158 25 W,        NA,        NA,                       NA,                       NA,
  29/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  29/08/1876,   30 58 N,  158 35 W,        NA,        NA,                       NA,                       NA,
  30/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  30/08/1876,   32 33 N,  158 35 W,        NA,        NA,                       NA,                       NA,
  31/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  31/08/1876,   34 13 N,  157 23 W,        NA,        NA,                       NA,                       NA,
  01/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  01/09/1876,   36 13 N,  155 45 W,        NA,        NA,                       NA,                       NA,
  02/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  02/09/1876,   38 07 N,  154 24 W,        NA,        NA,                       NA,                       NA,
  03/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  03/09/1876,   40 19 N,  152 29 W,        NA,        NA,                       NA,                       NA,
  04/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  04/09/1876,   41 59 N,  151 16 W,        NA,        NA,                       NA,                       NA,
  05/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  05/09/1876,   42 42 N,  150 16 W,        NA,        NA,                       NA,                       NA,
  06/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  06/09/1876,   43 14 N,  150 03 W,        NA,        NA,                       NA,                       NA,
  07/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  07/09/1876,   43 44 N,  149 21 W,        NA,        NA,                       NA,                       NA,
  08/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  08/09/1876,   44 16 N,  147 12 W,        NA,        NA,                       NA,                       NA,
  09/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  09/09/1876,   44 47 N,  145 47 W,        NA,        NA,                       NA,                       NA,
  10/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  10/09/1876,   45 08 N,  144 21 W,        NA,        NA,                       NA,                       NA,
  11/09/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  11/09/1876,   45 37 N,  142 49 W,        NA,        NA,                       NA,                       NA,
