          NA	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  27/05/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/05/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/05/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/05/1891	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  27/05/1891	   39 22 N	  125 00 W	        NA	        NA	                   at 8pm	                       NA	
  28/05/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  28/05/1891	   40 36 N	  128 51 W	        NA	        NA	                       NA	                       NA	
  29/05/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  29/05/1891	   42 16 N	  132 04 W	        NA	        NA	                       NA	                       NA	
  30/05/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  30/05/1891	   43 47 N	  136 13 W	        NA	        NA	                       NA	                       NA	
  31/05/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  31/05/1891	   45 33 N	  140 25 W	        NA	        NA	                       NA	                       NA	
  01/06/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  01/06/1891	   47 17 N	  144 56 W	        NA	        NA	                       NA	                       NA	
  02/06/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  02/06/1891	   49 11 N	  147 52 W	        NA	        NA	                       NA	                       NA	
  03/06/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  03/06/1891	   50 04 N	  151 45 W	        NA	        NA	                       NA	                       NA	
  04/06/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  04/06/1891	   51 20 N	  154 53 W	        NA	        NA	                     8 pm	                       NA	
  05/06/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  05/06/1891	   53 17 N	  161 50 W	      22.2	     113.9	         position at 8 pm	                     taio	
  06/06/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  06/06/1891	   54 01 N	  164 56 W	        NA	        NA	                 i mackie	                       NA	
  07/06/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  06/06/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/06/1891	        NA	        NA	      57.1	    -170.3	                   at sea	                  st paul	
  10/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul id alaska	                  st paul	
  11/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul island	                  st paul	
  11/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul id alaska	                  st paul	
  12/06/1891	        NA	        NA	      57.1	    -170.3	  sw anchorage st paul id	                  st paul	
  12/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul id alaska	                  st paul	
  13/06/1891	        NA	        NA	      57.1	    -170.3	  sw anchorage st paul id	                  st paul	
  13/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul id alaska	                  st paul	
  14/06/1891	        NA	        NA	      57.1	    -170.3	  sw anchorage st paul id	                  st paul	
  14/06/1891	        NA	        NA	      56.6	    -169.6	off st george island village alaska	         st george island	
  15/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul id alaska	                  st paul	
  15/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul id alaska	                  st paul	
  16/06/1891	        NA	        NA	      57.1	    -170.3	ne pt st paul id by compass wsw  dist 2 miles	                  st paul	
  17/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul id alaska	                  st paul	
  17/06/1891	        NA	        NA	      57.1	    -170.3	           st paul alaska	                  st paul	
  18/06/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul id alaska	                  st paul	
  19/06/1891	        NA	        NA	      57.1	    -170.3	  se anchorage st paul id	                  st paul	
  19/06/1891	        NA	        NA	      53.9	    -166.5	 iliuliuk harbor unalaska	         illiuliuk harbor	
  20/06/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  21/06/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  21/06/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  22/06/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  22/06/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  23/06/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  23/06/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  24/06/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  25/06/1891	        NA	        NA	      57.1	    -170.3	east landing st paul id alaska	           st paul island	
  27/06/1891	        NA	        NA	      57.1	    -170.3	east landing st paul island alaska	           st paul island	
  28/06/1891	        NA	        NA	      57.1	    -170.3	east landing st paul id alaska	           st paul island	
  29/06/1891	        NA	        NA	      54.0	    -166.7	cape cheerfull se dist 6 miles	            cape cheerful	
  30/06/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/07/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  02/07/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  02/07/1891	        NA	        NA	      53.9	    -166.5	          unalaska harbor	             unalaska bay	
  04/07/1891	        NA	        NA	      54.1	    -165.8	                acutan hr	                   akutan	
  06/07/1891	   54 21 N	  166 06 W	      54.1	    -165.8	                skutan hr	                   akutan	
  06/07/1891	   55 27 N	  165 46 W	        NA	        NA	                       NA	                       NA	
  07/07/1891	        NA	        NA	      54.0	    -166.7	 cape cheerful se 6 miles	            cape cheerful	
  09/07/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  09/07/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/07/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  10/07/1891	   56 15 N	  166 00 W	        NA	        NA	                       NA	                       NA	
  11/07/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/07/1891	        NA	        NA	        NA	        NA	            ou sw 3 miles	                       NA	
  13/07/1891	        NA	        NA	      57.1	    -170.3	off north side st paul island	           st paul island	
  13/07/1891	        NA	        NA	      57.1	    -170.3	off north side st paul island	           st paul island	
  13/07/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/07/1891	        NA	        NA	      57.1	    -170.3	ne anchorage st paul island	           st paul island	
  14/07/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul island	                  st paul	
  15/07/1891	        NA	        NA	      57.1	    -170.3	   ne anchorage st paul i	                  st paul	
  15/07/1891	   59 35 N	  171 30 W	        NA	        NA	                       NA	                       NA	
  16/07/1891	        NA	        NA	        NA	        NA	cape glory of russia wxn 2 miles	                       NA	
  17/07/1891	        NA	        NA	      60.4	    -172.7	         st mathew island	        st matthew island	
  17/07/1891	St. Mathew Isl	Helis Harbor	      60.4	    -172.7	thetis harbor st matthew island	        st matthew island	
  18/07/1891	        NA	        NA	      64.6	    -172.6	              hall island	             small island	
  18/07/1891	   59 35 N	  167 15 W	        NA	        NA	                       NA	                       NA	
  19/07/1891	        NA	        NA	      57.1	    -170.3	nw point st paul east 12 miles	                  st paul	
  21/07/1891	        NA	        NA	      57.1	    -170.3	         ne point st paul	                  st paul	
  22/07/1891	        NA	        NA	      57.1	    -170.3	sw anchorage st paul island	           st paul island	
  22/07/1891	        NA	        NA	      57.0	    -170.4	  otter island sw 4 miles	             otter island	
  23/07/1891	        NA	        NA	      57.1	    -170.3	  ne point st paul island	           st paul island	
  23/07/1891	   54 15 N	  166 40 W	        NA	        NA	                       NA	                       NA	
  24/07/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/07/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  26/07/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  26/07/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/07/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  27/07/1891	   56 45 N	  170 40 W	        NA	        NA	                       NA	                       NA	
  28/07/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  28/07/1891	   54 17 N	  172 30 W	        NA	        NA	                       NA	                       NA	
  29/07/1891	     56 45 N	  170 40 W	        NA	        NA	                     rush	                       NA	
  30/07/1891	St Paul Isd.	S.E. Anchorage	      57.1	    -170.3	 se anchorage st paul isd	           st paul island	
  31/07/1891	        NA	        NA	      57.1	    -170.3	   sw anchorage st paul i	                  st paul	
  31/07/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/08/1891	        NA	        NA	        NA	        NA	            st george isd	                       NA	
  01/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/08/1891	        NA	        NA	      56.6	    -169.6	         st george island	         st george island	
  02/08/1891	        NA	        NA	      57.1	    -170.3	rush hills st paul is east 6 miles	                  st paul	
  03/08/1891	        NA	        NA	      57.1	    -170.3	ne anchorage st paul island	           st paul island	
  04/08/1891	        NA	        NA	      57.1	    -170.3	ne anchorage st paul island	           st paul island	
  04/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/08/1891	        NA	        NA	      57.1	    -170.3	           st paul island	           st paul island	
  05/08/1891	        NA	        02	      56.6	    -169.8	  dalnoi point nw 2 miles	             dalnoi point	
  06/08/1891	        NA	        NA	      57.1	    -170.3	    st paul isd se12e 3 m	                  st paul	
  09/08/1891	        NA	        NA	      57.1	    -170.3	              st paul isl	                  st paul	
  09/08/1891	        NA	        NA	      57.1	    -170.3	           st paul island	           st paul island	
  10/08/1891	     54 47	    167 55	        NA	        NA	               bering sea	                  behring	
  11/08/1891	        NA	        NA	      54.0	    -166.7	        maxushin mountain	            cape cheerful	
  11/08/1891	        NA	        NA	      53.9	    -166.5	          unalaska harbor	             unalaska bay	
  12/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/08/1891	   54 25 N	  167 10 W	        NA	        NA	                 unalaska	                    malta	
  16/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/08/1891	        NA	        NA	      57.1	    -170.3	     sw anchorage st paul	                  st paul	
  18/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/08/1891	     57 34	    171 36	      57.1	    -170.3	sw anchorage st paul island	           st paul island	
  19/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/08/1891	        05	        NA	      57.1	    -170.3	nw point st paul isd ene 5 miles	                  st paul	
  20/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
