  19/05/1895,        NA,        NA,22.6,59.5,brid rocks rosario straits bearing ssw 1 mile,                      sur,rosario strait,48.5N,122.75W
  24/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/04/1896,        NA,        NA,48.1,-122.8,         port townsend wa,            port townsend,,,
  25/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/04/1896,        NA,        NA,48.1,-122.8,       port townsend wash,            port townsend,,,
  26/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/04/1896,        NA,        NA,48.1,-122.8,       port townsend wash,            port townsend,,,
  27/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/04/1896,        NA,        NA,48.1,-122.8,         port townsend wa,            port townsend,,,
  28/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/04/1896,   49 05 N,  126 09 W,        NA,        NA,                   at sea,                       NA,,,
  29/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/04/1896,   49 53 N,  128 44 W,        NA,        NA,                   at sea,                       NA,,,
  30/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/04/1896,   50 46 N,  131 29 W,        NA,        NA,                   at sea,                       NA,,,
  01/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/05/1896,   52 34 N,  132 44 W,        NA,        NA,                   at sea,                       NA,,,
  02/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/05/1896,   53 26 N,  134 08 W,        NA,        NA,                   at sea,                       NA,,,
  03/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/05/1896,   54 50 N,  134 58 W,        NA,        NA,                   at sea,                       NA,,,
  04/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/05/1896,   55 35 N,  134 42 W,30,48.5,    at sea so informative,                      fao,at sea,,
  05/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/05/1896,   56 05 N,  135 31 W,        NA,        NA,                   at sea,                       NA,,,
  06/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/05/1896,   57 58 N,  136 33 W,        NA,        NA,                   at sea,                       NA,,,
  07/05/1896,        NA,        NA,44.1,15.2,               st lazaria,                    sitka,st lazaria islands sitka sound,56 59N,135 42W
  07/05/1896,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  08/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/05/1896,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  09/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/05/1896,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  10/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/05/1896,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  11/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/05/1896,   56 24 N,  137 25 W,35,32.4,8 am latitude is by account while longitude is by obs,                    latzi,sitka sound,,
  12/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/05/1896,   56 41 N,  136 00 W,22.2,113.9,         position at noon,                     taio,sitka sound,,
  13/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/05/1896,   55 07 N,  136 32 W,        NA,        NA,                   at sea,                       NA,,,
   14/5/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   14/5/1896,   53 46 N,  135 16 W,        NA,        NA,                   at sea,                       NA,,,
  15/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/05/1896,   54 04 N,  134 10 W,        NA,        NA,                   at sea,                       NA,,,
  16/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/05/1896,   54 55 N,  135 58 W,        NA,        NA,                   at sea,                       NA,,,
  17/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/05/1896,   55 40 N,  137 40 W,        NA,        NA,                   at sea,                       NA,,,
  18/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/05/1896,   56 30 N,  135 37 W,        NA,        NA,                   at sea,                       NA,,,
  19/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/05/1896,   57 09 N,  136 37 W,        NA,        NA,                   at sea,                       NA,,,
  20/05/1896,        NA,        NA,57,-135.4,              sitka sound,                    sitka,,,
  20/05/1896,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  21/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/05/1896,     00 01,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  22/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/05/1896,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  23/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/05/1896,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  24/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/05/1896,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  25/05/1896,        NA,        NA,44.1,15.2,          st lazaria isld,               cape wedge,st lazaria islands sitka sound,,
  25/05/1896,   57 31 N,  138 20 W,        NA,        NA,                   at sea,                       NA,,,
  26/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/05/1896,   57 59 N,  137 48 W,        NA,        NA,                   at sea,                       NA,,,
  27/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/05/1896,   58 36 N,  138 56 W,        NA,        NA,                   at sea,                       NA,,,
  28/05/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
