          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  11/09/1886,,,,,,,,,
  11/09/1886,,,-43,147.8,               norfolk va,              norfolk bay,naval station norfolk,,
  11/09/1886,,,,,,,,,
  11/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  12/09/1886,,,,,,,,,
  12/09/1886,,,-43,147.8,navy yard norfolk virginia,              norfolk bay,naval station norfolk,,
  13/09/1886,,,,,,,,,
  13/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  14/09/1886,,,,,,,,,
  14/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   15/9/1886,,,,,,,,,
   15/9/1886,,,,,,,,,
   15/9/1886,,,,,,,,,
   15/9/1886,,,,,,,,,
  16/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  18/10/1886,,,-43,147.8,               norfolk va,              norfolk bay,naval station norfolk,,
  18/10/1886,,,,,,,,,
  18/10/1886,,,,,,,,,
  18/10/1886,,,,,,,,,
  18/10/1886,,,,,,,,,
  18/10/1886,,,,,,,,,
  18/10/1886,,,,,,,,,
  18/10/1886,,,,,,,,,
  18/10/1886,,,34.2,135.3,no bearings taken on landmarks,                    marus,naval station norfolk,,
  18/10/1886,,,,,,,,,
  18/10/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   16/9/1886,,,,,,,,,
   16/9/1886,,,,,,,,,
  16/09/1886,,,,,,,,,
  16/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  16/09/1886,,,,,,,,,
  16/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  17/09/1886,,,,,,,,,
  17/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   18/9/1886,,,,,,,,,
   18/9/1886,,,,,,,,,
  18/09/1886,,,,,,,,,
  18/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   19/9/1886,,,,,,,,,
   19/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   20/9/1886,,,,,,,,,
   20/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   21/9/1886,,,,,,,,,
   21/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   22/9/1886,,,,,,,,,
   22/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   23/9/1886,,,,,,,,,
   23/9/1886,,,36.8,-76.3,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   24/9/1886,,,,,,,,,
   24/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   25/9/1886,,,,,,,,,
   25/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  09/26/1886,,,,,,,,,
  09/26/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   27/9/1886,,,,,,,,,
   27/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   28/9/1886,,,,,,,,,
   28/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   29/9/1886,,,,,,,,,
   29/9/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  30/09/1886,,,,,,,,,
  30/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   1/10/1886,,,,,,,,,
   1/10/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   2/10/1886,,,,,,,,,
   2/10/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
