    1/1/1887,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  20/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  21/06/1887,,,,,,,,,
  21/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  22/06/1887,,,,,,,,,
  22/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  23/06/1887,,,,,,,,,
  23/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  24/06/1887,,,,,,,,,
  24/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  25/06/1887,,,,,,,,,
  25/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  26/06/1887,,,,,,,,,
  26/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  27/06/1887,,,,,,,,,
  27/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  28/06/1887,,,,,,,,,
  28/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  29/06/1887,,,,,,,,,
  29/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  30/06/1887,,,,,,,,,
  30/06/1887,,,,,,,,,
  30/06/1887,,,,,,,,,
  30/06/1887,,,,,,,,,
  30/06/1887,,,,,,,,,
  30/06/1887,,,,,,,,,
  30/06/1887,,,,,,,,,
  01/07/1887,,,,,,,,,
  01/07/1887,,,,,,,,,
  01/07/1887,,,,,,,,,
  01/07/1887,,,,,,,,,
  01/07/1887,,,,,,,,,
  01/07/1887,,,,,,,,,
  01/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  01/07/1887,,,,,,,,,
  01/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  02/07/1887,,,,,,,,,
  02/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  03/07/1887,,,,,,,,,
  03/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  04/07/1887,,,,,,,,,
  04/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  05/07/1887,,,,,,,,,
  05/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  06/07/1887,,,,,,,,,
  06/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  07/07/1887,,,,,,,,,
  07/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  08/07/1887,,,,,,,,,
  08/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  09/07/1887,,,,,,,,,
  09/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  10/07/1887,,,,,,,,,
  10/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  11/07/1887,,,39.3,-76.6,                baltimore,                baltimore,,,
  11/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  12/07/1887,,,,,,,,,
  12/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  13/07/1887,,,,,,,,,
  13/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  14/07/1887,,,,,,,,,
  14/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  15/07/1887,,,,,,,,,
  15/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  16/07/1887,,,,,,,,,
  16/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  17/07/1887,,,,,,,,,
  17/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  18/07/1887,,,,,,,,,
  18/07/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  19/07/1887,,,,,,,,,
  19/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  20/07/1887,,,,,,,,,
  20/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  21/07/1887,,,,,,,,,
  21/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  22/07/1887,,,,,,,,,
  22/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  23/07/1887,,,,,,,,,
  23/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  24/07/1887,,,,,,,,,
  24/07/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  25/07/1887,,,,,,,,,
