  03/09/1869,,,,,,,,,
  03/09/1869,   03 02 N,   86 03 W,,,                   at sea,,,,
  04/09/1869,,,,,,,,,
  04/09/1869,   03 06 N,   87 45 W,,,                   at sea,,,,
  05/09/1869,,,,,,,,,
  05/09/1869,   03 13 N,   89 52 W,,,,,,,
  06/09/1869,,,,,,,,,
  06/09/1869,   03 13 N,   89 52 W,,,                   at sea,,,,
  07/09/1869,,,,,,,,,
  07/09/1869,   03 16 N,   92 46 W,,,                   at sea,,,,
  08/09/1869,,,,,,,,,
  08/09/1869,   03 35 N,   95 00 W,,,                   at sea,,,,
  09/09/1869,,,,,,,,,
  09/09/1869,   03 22 N,   96 36 W,,,                   at sea,,,,
  10/09/1869,,,,,,,,,
  10/09/1869,   02 26 N,   98 26 W,,,,,,,
  11/09/1869,,,,,,,,,
  11/09/1869,   01 57 N,  101 30 W,,,                   at sea,,,,
  12/09/1869,,,,,,,,,
  12/09/1869,   01 41 N,  103 55 W,,,                   at sea,,,,
  13/09/1869,,,,,,,,,
  13/09/1869,   01 10 N,  107 06 W,,,                   at sea,,,,
  14/09/1869,,,,,,,,,
  14/09/1869,   00 02 S,  108 46 W,,,,,,,
   15/9/1869,,,,,,,,,
   15/9/1869,   01 14 S,  112 01 W,,,,,,,
  16/09/1869,,,,,,,,,
