  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  18/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  19/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  19/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  20/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  20/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  21/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  21/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  22/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  22/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  23/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  23/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  24/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  24/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  25/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  25/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  26/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  26/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  27/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  27/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  28/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  28/03/1928,,,,,,,,,
  28/03/1928,,,,,,,,,
  28/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  29/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  29/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  30/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  30/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  31/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
  31/03/1928,,,,,,,,,
