  05/05/1886,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  24/10/1886,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/10/1886,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/10/1886,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/10/1886,,,,,,,,,
  26/10/1886,,,38.1,-122.3,                mare isld,              mare island,,,
  27/10/1886,,,38.1,-122.3,              mare island,              mare island,,,
  27/10/1886,,,38.1,-122.3,                mare isld,              mare island,,,
  28/10/1886,,,38.1,-122.3,              mare island,              mare island,,,
  28/10/1886,,,38.1,-122.3,                mare isld,              mare island,,,
  29/10/1886,,,38.1,-122.3,              mare island,              mare island,,,
  29/10/1886,,,38.1,-122.3,      navy yard mare isld,              mare island,,,
  30/10/1886,,,38.1,-122.3,    navy yard mare island,              mare island,,,
  30/10/1886,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  31/10/1886,,,37.8,-122.4,            san francisco,            san francisco,,,
  31/10/1886,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  31/10/1886,,,,,,,,,
  31/10/1886,,,,,,,,,
  31/10/1886,,,,,,,,,
  31/10/1886,,,,,,,,,
  31/10/1886,,,,,,,,,
