  01/01/1877,        NA,        NA_2,56.2,-3,     at sea north pacific,                    forth,north pacific,i,j
  08/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  15/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  16/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  17/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  18/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  19/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  20/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  21/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  22/06/1877,,,38.1,-122.3,   mare island california,              mare island,,,
  23/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  24/06/1877,,,38.1,-122.3,   mare island california,              mare island,,,
  25/06/1877,,,38.1,-122.3,   mare island california,              mare island,,,
  26/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  27/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  28/06/1877,,,38.1,-122.3,          mare island cal,              mare island,,,
  29/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  29/06/1877,,,,,,,,,
  01/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/07/1877,,,,,,,,,
  04/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/07/1877,,,,,,,,,
  07/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/07/1877,,,37.8,-122.4, san francisco california,        san francisco bay,,,
  09/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
   12/7/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/07/1877,,,,,,,,,
  15/07/1877,,,37.8,-122.4,            san francisco,            san francisco,,,
  16/07/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
