          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/03/1898,,,,,,,,,
  01/03/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  02/03/1898,,,,,,,,,
  02/03/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  03/03/1898,,,,,,,,,
  03/03/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  04/03/1898,,,,,,,,,
  04/03/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  05/03/1898,,,,,,,,,
  05/03/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  06/03/1898,,,,,,,,,
  06/03/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  07/03/1898,,,,,,,,,
  07/03/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  08/03/1898,,,,,,,,,
  08/03/1898,0,0,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  09/03/1898,,,,,,,,,
  09/03/1898,   17 14 N,   62 50 W,14.7,-61,making passage from st kitts english west indies to st pierre martinique french west indies,               martinique,caribbean sea,,
  10/03/1898,,,,,,,,,
  10/03/1898,   16 41 N,   63 01 W,,,                     noon,,,,
  11/03/1898,,,,,,,,,
  11/03/1898,   16 22 N,   62 58 W,,,                     noon,,,,
  12/03/1898,,,,,,,,,
  12/03/1898,   14 46 N,   61 28 W,14.7,-61,making passage from st kitts english west indies to st pierre martinique frech west indies,               martinique,caribbean sea,,
  13/03/1898,,,14.7,-61,       martinique sighted,               martinique,,,
  13/03/1898,   14 23 N,   62 08 W,14.7,-61,                     noon,               martinique,caribbean sea,,
  14/03/1898,,,14.7,-61,martinique in sight on starboard bow,               martinique,,,
  14/03/1898,   14 40 N,   61 20 W,14.7,-61,at sea making passage from st kitts to st pierre martinique,               martinique,caribbean sea,,
  15/03/1898,,,-10,39.7,st pierre french west indies,                    lindi,saint pierre martinique,14 44 30N,0001-08-20
  15/03/1898,,,14.7,-61,at anchor st pierre martinique french west indies,               martinique,,,
  16/03/1898,,,,,,,,,
  16/03/1898,   15 11 N,   61 44 W,-10,39.7,                     noon,                    lindi,caribbean sea,,
  17/03/1898,,,,,,,,,
  17/03/1898,   17 37 N,   64 54 W,,,                     noon,,,,
  18/03/1898,,,,,,,,,
  18/03/1898,   19 09 N,   65 23 W,13.2,-59.6,at anchor st thomas d w i and at sea making passage from st thomas,                st thomas,north atlantic,,
  19/03/1898,,,,,,,,,
  20/03/1898,   21 01 N,   66 59 W,,,                     noon,,,,
  20/03/1898,,,,,,,,,
  20/03/1898,   24 19 N,   69 32 W,,,                     noon,,,,
  21/03/1898,,,,,,,,,
  21/03/1898,   27 55 N,   71 48 W,,,                     noon,,,,
  22/03/1898,,,,,,,,,
  22/03/1898,   31 36 N,   72 56 W,,,                     noon,,,,
  23/03/1898,,,,,,,,,
  23/03/1898,   35 23 N,   74 00 W,,,                     noon,,,,
  24/03/1898,,,,,,,,,
  24/03/1898,   36 58 N,   75 56 W,,,                     noon,,,,
  25/03/1898,,,,,,,,,
  25/03/1898,,,37,-76.3,at anchor hampton roads va,            hampton roads,,,
  26/03/1898,,,,,,,,,
  26/03/1898,,,37,-76.3,at anchor hampton roads va,            hampton roads,,,
  27/03/1898,,,,,,,,,
  27/03/1898,,,37,-76.3,at anchor hampton roads va,            hampton roads,,,
  28/03/1898,,,,,,,,,
